player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td
D'Ernest Johnson,,,,,,4.5,19.6,0.1,0.0,7.2,JAC,RB,4.5,21.7,0.0
Travis Homer,,,,,,5.7,24.9,0.0,0.2,6.5,CHI,RB,3.1,22.8,0.0
Gary Brightwell,,,,,,4.9,20.6,0.0,0.2,6.7,NYG,RB,2.0,10.6,0.0
Tyrion Davis-Price,,,,,,10.1,42.0,0.0,0.3,9.7,SF,RB,3.5,25.3,0.0
Tony Jones Jr.,,,,,,14.1,58.5,0.0,0.2,12.2,DEN,RB,4.1,26.0,0.0
Julius Chestnut,,,,,,5.0,21.3,0.0,0.2,6.6,TEN,RB,3.0,28.3,0.0
Dare Ogunbowale,,,,,,4.7,19.2,0.0,0.2,6.1,HOU,RB,3.9,26.1,0.0
Hunter Luepke,,,,,,18.0,23.2,0.3,0.0,12.9,DAL,RB,4.8,24.9,0.3
Hassan Haskins,,,,,,0.0,0.0,0.0,0.3,0.0,TEN,RB,0.0,0.0,0.0
Mike Boone,,,,,,9.4,40.5,0.0,0.1,9.0,HOU,RB,3.7,27.9,0.0
Kevin Harris,,,,,,19.7,82.0,0.0,0.2,15.1,NE,RB,1.6,4.0,0.0
Salvon Ahmed,,,,,,4.3,17.8,0.0,0.0,6.8,MIA,RB,4.3,30.5,0.0
Justice Hill,,,,,,5.3,22.8,0.0,0.4,5.9,BAL,RB,3.7,24.2,0.0
Ty Johnson,,,,,,6.6,28.3,0.0,0.2,8.4,BUF,RB,4.3,31.9,0.0
Brandon Bolden,,,,,,13.1,20.6,0.0,0.2,8.6,LV,RB,2.4,23.3,0.0
Elijah Dotson,,,,,,15.7,65.8,0.6,0.1,14.2,LAC,RB,4.5,32.1,0.2
Keaton Mitchell,,,,,,32.3,103.5,0.0,0.2,19.8,BAL,RB,0.0,38.4,0.0
Kirk Merritt,,,,,,9.1,38.7,0.3,0.1,13.2,NO,RB,7.4,58.1,0.3
J.J. Taylor,,,,,,4.4,18.5,0.2,0.1,6.5,NE,RB,4.1,27.4,0.2
Reggie Gilliam,,,,,,4.4,18.6,0.2,0.0,12.1,BUF,RB,9.0,66.0,0.5
Alec Ingold,,,,,,4.0,4.8,0.0,0.1,6.8,MIA,RB,4.3,31.1,0.0
Zander Horvath,,,,,,4.3,2.9,0.0,0.0,5.4,LAC,RB,2.9,9.1,0.1
Jaleel McLaughlin,,,,,,23.7,73.9,0.0,0.1,14.4,DEN,RB,0.0,27.4,0.0
C.J. Ham,,,,,,4.0,2.2,0.0,0.1,8.5,MIN,RB,4.6,16.9,0.0
Ronnie Rivers,,,,,,4.5,19.0,0.0,0.1,6.6,LAR,RB,4.1,29.5,0.0
Patrick Ricard,,,,,,4.7,8.8,0.0,1.4,5.9,BAL,RB,3.7,23.6,0.0
Giovanni Ricci,,,,,,4.7,19.7,0.2,0.0,6.8,CAR,RB,4.1,30.0,0.2
Patrick Laird,,,,,,4.3,18.0,0.2,0.0,6.7,TB,RB,4.3,31.7,0.2
Jason Cabinda,,,,,,4.6,5.7,0.1,0.0,7.7,DET,RB,4.3,33.1,0.2
Avery Williams,,,,,,5.5,23.1,0.2,0.0,6.3,ATL,RB,3.4,22.1,0.2
Adam Prentice,,,,,,4.8,12.1,0.1,0.0,6.3,NO,RB,4.0,19.1,0.2
Michael Burton,,,,,,4.7,4.4,0.1,0.0,5.3,DEN,RB,2.6,8.6,0.2
Jakob Johnson,,,,,,4.6,2.0,0.0,0.1,6.5,LV,RB,4.1,13.3,0.0
Khari Blasingame,,,,,,5.7,2.8,0.1,0.0,3.8,CHI,RB,2.3,3.1,0.1
Keith Smith,,,,,,5.5,2.0,0.0,0.0,3.2,ATL,RB,2.1,1.4,0.1
Ty'Son Williams,,,,,,0.0,0.0,0.0,0.1,0.0,ARI,RB,0.0,0.0,0.0
Nick Bellore,,,,,,4.4,0.0,0.0,0.0,6.5,SEA,RB,0.0,0.0,0.0
Dwayne Washington,,,,,,0.0,3.6,0.0,0.0,1.4,DEN,RB,0.5,4.4,0.0
Justin Jefferson,,,,,,3.0,13.2,0.0,0.8,188.0,MIN,WR,101.2,"1,336.0",6.9
Ja'Marr Chase,,,,,,2.0,16.0,0.0,2.0,165.0,CIN,WR,95.0,"1,235.0",8.6
Tyreek Hill,,,,,,8.0,42.0,0.0,0.9,161.0,MIA,WR,93.0,"1,272.0",6.0
Cooper Kupp,,,,,,5.0,28.1,0.0,1.4,164.0,LAR,WR,94.0,"1,133.0",6.4
CeeDee Lamb,,,,,,4.8,29.0,0.0,0.7,148.0,DAL,WR,87.0,"1,132.0",6.0
